source_id,title,year,project_gate,classification,take_into_project,key_result,allowed_use,not_allowed,url,doi
NSF-001,Seismically determined elastic parameters for Earth’s outer core (EPOC),2018,H0 / seismic robustness,REFERENCE_MODEL / VALIDATION,YES,EPOC fits normal-mode data better than PREM; outer-core velocity/density profiles differ materially. EPOC reduced overall reduced chi^2 from 1.54 to 1.02 and outer-core-sensitive modes from 2.51 to 0.74; density is ~0.94–1.25% above PREM across the core.,Add an EPOC-vs-PREM reference-Earth sensitivity gate for any H0 travel-time/density anomaly claim.,Do not treat EPOC as evidence for a central black hole or as a unique true Earth model.,https://par.nsf.gov/servlets/purl/10084418,10.1126/sciadv.aar2538
NSF-002,Earth’s core composition and core formation,2024/2025,A35 thermodynamics/composition,DOMAIN_BOUNDARY / VALIDATION,YES,Review: Earth’s core is mainly Fe–Ni plus ~10% lighter elements whose identities and abundances remain uncertain; composition is constrained jointly by geochemistry and high-P/T mineral physics.,Use as a high-level domain constraint: full Fe–Ni–light-element closure must span composition uncertainty rather than silently assuming one binary alloy.,Do not convert the review into missing thermodynamic derivatives or transport coefficients.,https://par.nsf.gov/servlets/purl/10658234,10.1016/B978-0-323-99762-1.00116-9
NSF-003,Thermal conductivity of Fe-Si alloys and thermal stratification in Earth’s core,2022,A35 electronic/thermal transport,DIRECT_SUBDOMAIN_DATA / VALIDATION_ONLY,YES,Experiments plus FPMD/DMFT on Fe-Si; liquid Fe-9Si near topmost outer-core conditions gives thermal conductivity ~100–110 W m^-1 K^-1.,Benchmark/validation anchor for Fe-Si electronic/thermal transport in its stated P-T-X domain.,Thermal/electrical conductivity is not a free electron diffusion coefficient and not a multicomponent ionic Onsager matrix.,https://pmc.ncbi.nlm.nih.gov/articles/PMC8740763/,10.1073/pnas.2119001119
NSF-004,Transport properties of Fe-Ni-Si alloys at Earth's core conditions,2021,A35 electronic/thermal transport,VALIDATION_ONLY / DERIVED_SUBDOMAIN,YES,Electrical resistivity measured for Fe-10wt%Ni and Fe-1.8wt%Si to ~142 GPa and ~3400 K; nominal topmost-outer-core thermal conductivity ~50 W m^-1 K^-1 is modeled for Fe-5Ni-8Si.,Independent validation bracket for electronic/thermal transport and composition sensitivity.,The modeled ternary thermal conductivity is not a species-resolved mass-transport matrix and not a direct A35 charge-capture closure.,https://www.sciencedirect.com/science/article/abs/pii/S0012821X20305586,10.1016/j.epsl.2020.116614
NSF-005,Review of the second charged-particle transport coefficient code comparison workshop,2024,A35 WDM transport,METHOD_ONLY / VALIDATION_ONLY,YES,Multi-code comparison of charged-particle transport in high-energy-density/WDM regimes; documents model dependence and benchmark methodology.,Use for uncertainty protocol and inter-code comparison.,Do not import workshop coefficients as Fe–Ni–Light core transport closure unless exact composition/state/domain match is demonstrated.,https://par.nsf.gov/servlets/purl/10570457,10.1063/5.0198155
NSF-006,Towards first principles-based simulations of dense hydrogen,2025/2026,A35 electron transport / ionization,METHOD_ONLY / UNCERTAINTY_REFERENCE,YES,Kubo-Greenwood is a standard DFT route for electronic transport; workshop comparisons report ~20% best-case weak-coupling spread ~factor 2 in WDM and up to factor 10+ at low T; ionization uncertainty is a major disagreement source.,Strengthen explicit model-uncertainty and ionization-closure gates.,Hydrogen results are not transferable numerical coefficients for liquid Fe–Ni–Light.,https://par.nsf.gov/servlets/purl/10632133,
NSF-007,Researchers track plasma creation using novel ultra-fast laser method,2024,A35 experimental pathway,METHOD_ONLY / INSTRUMENTATION,YES,Pump-probe method combines ultrafast laser heating with X-ray free-electron-laser probing of warm dense copper on picosecond timescales.,Candidate experimental-method reference for future WDM diagnostics/data acquisition.,Copper WDM dynamics do not close Fe–Ni–Light core transport.,https://www.nsf.gov/news/researchers-track-plasma-creation-using-novel-ultra-fast,
NSF-008,Interfacial thermal resistance in high-energy-density plasma,2025,A35 interface/matching architecture,METHOD_ONLY / INTERFACE_VALIDATION,YES,Experiment finds strong interfacial thermal resistance caused by electron scattering across a material interface.,Supports keeping an explicit interface/matching operator rather than assuming transparent local equilibration.,This is not evidence for a black-hole/WDM Q_bullet→Q_m map and does not specify capture K_s.,https://www.nsf.gov/news/extreme-conditions-heat-does-not-flow-between-materials-it,
NSF-009,Primordial Black Holes from non-Gaussian fluctuations,2019-era,F12 primordial formation,THEORY_VALIDATION,YES,PBH abundance is governed by the tail of the perturbation distribution and primordial non-Gaussian tails can materially change abundance.,Supports F12 requirement to specify the non-Gaussian distribution/convention rather than infer abundance from power amplitude alone.,Does not determine project A_peak or f_NL without a concrete formation model.,https://par.nsf.gov/servlets/purl/10105471,
NSF-010,Gravitational waves from incomplete inflationary phase transitions,2023,F12 primordial formation,THEORY_VALIDATION,YES,Paper states a PBH constraint assuming Gaussian P_R is only a rough estimate; exact abundance bound requires model-specific non-Gaussian statistics.,Promote model-specific non-Gaussian mapping to a hard F12 gate.,Do not reuse the paper phase-transition spectrum as the project primordial spectrum.,https://par.nsf.gov/servlets/purl/10516781,10.1103/PhysRevD.108.115016
NSF-011,Strong constraints on primordial black hole dark matter from 16 years of INTEGRAL/SPI observations,2022,H+ external Hawking context,OBSERVATIONAL_POPULATION_CONSTRAINT,YES,No NFW-shaped PBH component was detected; 95% CL limits were set under a Galactic halo population model.,External H+ population-level Hawking constraint/context.,Not an exclusion of one hypothetical Earth-center black hole; geometry population model and mass range differ.,https://par.nsf.gov/servlets/purl/10437779,10.1103/PhysRevD.106.023030
NSF-012,Super-Kamiokande-IV solar neutrino analysis,2024,H+ detector context,DETECTOR_VALIDATION_ONLY,YES,SK-IV solar analysis uses 22.5 kt fiducial volume 2970 live days and 3.49 MeV electron kinetic-energy threshold.,Detector configuration/performance context and calibration anchor.,Not an official Super-K Earth-center evaporating-black-hole search.,https://par.nsf.gov/servlets/purl/10543031,10.1103/PhysRevD.109.092001
NSF-013,NSF GEO Core / Structure and Physics of the Solid Earth,2026,Future Earth-interior validation route,PROGRAM_ROUTE_ONLY,YES,Current NSF geoscience programs support foundational work on Earth’s interior and core-to-crust structure/physics.,Track relevant Earth-interior/seismic/mineral-physics projects awards and datasets.,Funding-program scope is not scientific evidence.,https://www.nsf.gov/funding/opportunities/geo-core-geosciences-core-research-atmospheric-geospace-earth-ocean/nsf26-516/solicitation,
NSF-014,NSF Plasma Physics (NSF 26-523),2026,Future A35 WDM route,PROGRAM_ROUTE_ONLY,YES,Program explicitly covers high-energy-density and strongly coupled plasmas with experiment theory and computation.,Discovery route for future WDM transport/ionization work and research groups/awards.,Program scope is not closure data.,https://www.nsf.gov/funding/opportunities/plasma-physics,
NSF-015,NSF MATRIX-MIP / Materials Innovation Platforms,2026,Future extreme-materials infrastructure route,INFRASTRUCTURE_ROUTE_ONLY,YES,NSF announced MATRIX-MIP for materials in extreme environments and shared synthesis/characterization/modeling infrastructure.,Track infrastructure/network discovery for extreme-condition materials methodology.,Announcement does not establish Earth-core Fe–Ni–Light WDM transport capability.,https://www.nsf.gov/news/nsf-stands-2-materials-innovation-platforms-50m-investment,
NSF-016,NSF Public Access Repository + Award Search,current,Research provenance/discovery,DISCOVERY_INFRASTRUCTURE,YES,NSF-PAR provides public NSF-funded publications and Award Search links awards to outputs; dataset metadata is expanding.,Primary NSF discovery/provenance path.,Repository presence alone does not upgrade a source to direct physical closure data.,https://www.nsf.gov/public-access,
