source_id,source_type,title,relevance,adopted_use,status
S395B-001,pdf,"FrontierScience: Evaluating AI's Ability to Perform Expert-Level Scientific Tasks","Research subtask design; independent reviews; rubric-based grading","10-point gate rubrics; intermediate-step verification; meta-review","ADOPTED"
S395B-002,pdf,"Formal Mathematics Statement Curriculum Learning","Lean/lean-gym; expert iteration; curriculum of formal statements","Selective Lean verification; lemma curriculum rather than monolithic proof attempt","ADOPTED"
S395B-003,pdf,"Single-minus gluon tree amplitudes are nonzero","Conjecture/proof plus independent recursion and identity checks","Independent invariants and consistency checks beyond solver agreement","ADOPTED"
S395B-004,pdf,"Planar Point Sets with Many Unit Distances","Automated solution followed by AI grading and human/external verification","Prover-verifier chain; strict separation of partial progress from complete proof","ADOPTED"
S395B-005,pdf,"Simplifying, Stabilizing & Scaling Continuous-Time Consistency Models","Discretization-error and stability methodology","Grid/tolerance convergence and continuous-limit checks where applicable","ADOPTED_METHOD_ONLY"
S395B-006,web,"Black Hat USA 2026 Briefings Schedule","Agent security; trust-boundary attack surface","Threat-model input; defensive agent-security requirements","ADOPTED_METHOD_ONLY"
S395B-007,web,"Roblox Unveils New Security Research and Tools at Black Hat and BSides Las Vegas","Multi-agent trust boundaries; network isolation; adversarial review; runtime validation; hidden GitHub-Issue instruction test","Agent security policy and isolated validation pipeline","ADOPTED"
S395B-008,web,"Can AI do novel security research? Meet the HTTP Terminator","Ideation; evaluation; micro-inspiration; cascade; deterministic evaluation","Research cascade and micro-inspiration workflow","ADOPTED_METHOD_ONLY"
S395B-009,github,"evanslify/onepct","Capability graph; reseed/state signature; structured contracts for long-running agents","provides/requires graph; compact state; JSON result contract","ADOPTED_METHOD_ONLY"
S395B-010,web,"Multimodal Neurons in Artificial Neural Networks","CLIP concept features; polysemanticity; typographic adversarial attacks; multimodal interpretability","Treat text embedded in figures/images as untrusted data; cross-modal provenance and adversarial visual-input checks","ADOPTED_METHOD_ONLY"
S395B-011,web,"OpenAI Research Publication Index","Current discovery index for OpenAI research/publications","Source discovery only; never used as direct evidence for BH physics","DISCOVERY_INDEX_ONLY"
S395B-012,web,"How enabling two settings tripled our scores on the ARC-AGI-3 benchmark","Harness design; retained reasoning; compaction; context retention affects measured agent performance","Record harness/context policy; re-baseline after harness changes; compact state rather than rolling truncation","ADOPTED_METHOD_ONLY"
S395B-013,web,"Scientific computing in the age of agentic AI","Researchers shift from implementation to verification/orchestration; external acceptance targets; staged iterations","External reference/acceptance-target requirement; staged implementation and verification","ADOPTED"
S395B-014,web,"Separating signal from noise in coding evaluations","Audit of broken benchmark tasks; underspecification; overly strict tests; low coverage; misleading prompts","Meta-audit regression suites and task specs before interpreting PASS/FAIL","ADOPTED"
S395B-015,web,"Our First Proof submissions","Research-grade proof attempts; expert feedback can overturn initially plausible proofs; controlled evaluation needed","PROVISIONAL status for unverified proofs; expert/formal/independent review before promotion","ADOPTED"
S395B-016,web,"Ten advances in mathematics and theoretical computer science","AI-generated mathematical arguments followed by human manuscript preparation and Lean certificates","Formal-certificate layer and transparent provenance of human/AI roles","ADOPTED_METHOD_ONLY"
S395B-017,web,"GPT-Red: Unlocking Self-Improvement for Robustness","Automated adversarial self-play; prompt-injection robustness; layered red-teaming","Adversarial regression corpus for research agents; assume injected third-party content","ADOPTED_SECURITY_ONLY"
S395B-X01,pdf,"Minoan Linear A Volume I: Hurrians and Hurrian in Minoan Crete","No material relevance to GR/PBH/BH physics, accretion, PREM/seismics, numerical verification or agent research methodology","Excluded to prevent source contamination","EXCLUDED_IRRELEVANT"
