"coefficient_id","symbol","physical_quantity","quantity_type","evidence_class","value","unit","uncertainty","uncertainty_type","pressure","temperature","density","composition","phase","source_title","authors","year","journal","doi","arxiv","dataset_url","source_url","data_location","method","validity_domain","interpolation_rule","extrapolation_allowed","usable_for_A35_real_Qeq","reason","confidence","notes"
"zhang_2022_feosi_mu_regression_grid","mu_O+,mu_Si+","Fe-O-Si chemical-potential regression grid","chemical_potential","literature_data","","J mol^-1","row_specific","source_regression_error_columns","4.0e10..3.5e11","3000..6000","","liquid Fe-O-Si; x_O and x_Si sampled from 0 to 0.20 on the source grid","liquid Fe-O-Si","Free Energies of Fe-O-Si Ternary Liquids at High Temperatures and Pressures: Implications for the Solubility of Si and O in Liquid Iron in Equilibrium With Silicate Perovskite","Zhigang Zhang; Gabor Csanyi; Dario Alfe; Yigang Zhang; Juan Li; Jin Liu","2022","Geophysical Research Letters 49(4), e2021GL096749","10.1029/2021GL096749","","https://doi.org/10.5281/zenodo.5912087","https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2021GL096749","Paper thermodynamic-integration and regression equations; Zenodo Fe-O-Si-Dataset.xlsx sheets Free Energies A1:J124, PVTX A1:G616 and Regressions A1:L78","thermodynamic integration and source regression; dataset-level anchor only, with no pointwise interpolation performed","Discrete source grids: T=3000 K at 4.0e10..7.0e10 Pa; 4000 K at 5.5e10..1.5e11 Pa; 5000 K at 6.0e10..2.5e11 Pa; 6000 K at 1.0e11..3.5e11 Pa; source compositions only","none; discrete source grid and source equations only","false","false","Directly available limited Fe-O-Si subsystem data; it omits Ni and does not supply the full Fe-Ni-Light derivative matrix required by A35.","high","literature_data; workbook mu columns are in kJ mol^-1. A future pointwise ingestion must multiply by 1e3 for J mol^-1 and propagate the source regression errors; no source value is copied into this dataset-level row."
"li_2019_fec_chemical_potential_method","mu_C","carbon chemical potential in Fe from thermodynamic integration","chemical_potential","method_only","","J per particle","","not_applicable_method_only","3.60e11","6500","","binary Fe-C","liquid and solid Fe-C partitioning model","Carbon Partitioning Between the Earth's Inner and Outer Core","Yunguo Li; Lidunka Vocadlo; Dario Alfe; John Brodholt","2019","Journal of Geophysical Research: Solid Earth","10.1029/2019JB018789","","","https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2019JB018789","Equations (6)-(19); Table 1; Figures 4-6","thermodynamic integration and free-energy differences used to obtain a carbon chemical potential in a binary Fe-C application","Registered method application near 3.60e11 Pa and 6500 K for binary Fe-C; no transfer to Fe-Ni-Light","none_registered","false","false","Method-only thermodynamic anchor: it demonstrates that EOS state points alone do not determine chemical-potential derivatives and supplies no full Fe-Ni-Light matrix.","high","method_only; no numeric chemical-potential value was copied and no binary-to-multicomponent transfer is allowed."
"li_2021_feni_electrical_transport_method","sigma_e","ab initio electrical-conductivity projection for liquid Fe-Ni","electrical_conductivity","method_only","","S m^-1","","source_table_not_ingested","","","","liquid Fe-Ni","liquid outer-core alloy","Constraints on the thermal evolution of the Earth's core from ab initio calculated transport properties of FeNi liquids","Wei-Jie Li; Zi Li; Xian-Tu He; Cong Wang; Ping Zhang","2021","Earth and Planetary Science Letters 562, 116852","10.1016/j.epsl.2021.116852","","","https://www.sciencedirect.com/science/article/abs/pii/S0012821X21001114","Paper abstract and Table 1 description; pointwise numerical table not ingested in this pass","ab initio molecular dynamics with electronic transport evaluation along an outer-core adiabat","Liquid Fe-Ni states on the source outer-core adiabat; exact pointwise P-T table not registered in this pass","none_registered","false","false","Candidate Fe-Ni conductivity projection only; it does not determine electron particle flux under simultaneous electric, chemical-potential and thermal gradients.","medium","method_only until the pointwise primary table, units and uncertainties are ingested; no conductivity value and no free D_e were introduced."
"de_koker_2012_electrical_transport_method","sigma_e","Kubo-Greenwood electronic Onsager projection to electrical conductivity","electrical_conductivity","method_only","","S m^-1","","not_applicable_method_only","0..3.60e11","2000..8000","","liquid Fe, Fe-Si and Fe-O source systems","liquid metal","Electrical resistivity and thermal conductivity of liquid Fe alloys at high P and T, and heat flux in Earth's core","Nico de Koker; Gerd Steinle-Neumann; Vojtech Vlcek","2012","Proceedings of the National Academy of Sciences 109(11), 4070-4073","10.1073/pnas.1111841109","","","https://pmc.ncbi.nlm.nih.gov/articles/PMC3306690/","Methods section; Figures 1-3; Supporting Information","Kubo-Greenwood electronic Onsager coefficients projected to electrical resistivity and thermal conductivity","Published liquid Fe, Fe-Si and Fe-O calculations over 0..3.60e11 Pa and 2000..8000 K; no Fe-Ni-Light response matrix","none_registered","false","false","Method and projection anchor only; it supplies neither the complete Fe-Ni-Light particle-flux response nor chemical-gradient and capture terms required by A35.","high","method_only; conductivity remains a validation projection and is not inverted into an electron diffusion coefficient or mobility."
"liu_asimow_2025_mixture_eos_pressure_grid","P_corr(P,T,X,V)","tabulated corrected pressure surface for liquid Fe-Ni-light-element mixtures","EOS","literature_data","","Pa","row_specific","source_reported_standard_error_and_covariance","5.00435332362987e10..4.47037478964679e11","4000..6000","","Table.S.2: Fe108; Fe90Ni18; Fe90S18; Fe90Si18; Fe90C18; Fe76O32; Fe76H32; Table.S.3: Fe-C-O-Si-S-Ni-H mixtures with exact atom counts per row","liquid metal","Thermodynamic Properties of Liquid Metal Using First-Principles Molecular Dynamics: Implications for the Compositional and Thermal State of the Earth's Outer Core","Weiyi Liu; Paul D. Asimow","2025","Journal of Geophysical Research: Solid Earth 130(3), e2024JB030419","10.1029/2024JB030419","","https://data.caltech.edu/records/dxgqf-tw269","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2024JB030419","CaltechDATA v1 Table.S.2.xlsx species sheets and Table.S.3.xlsx; paper Data Availability Statement and Supporting Tables S2-S3","first-principles molecular dynamics with the source-published pressure-shift correction; row-resolved P errors and P-E covariance retained in source","Combined inspected tabulation only: P=5.00435332362987e10..4.47037478964679e11 Pa; T=4000..6000 K; listed liquid compositions","none_registered; discrete source grid only","false","false","Dataset-level EOS anchor only; no free-energy surface, chemical-potential derivatives, or thermodynamic-factor matrix is registered.","high","literature_data; value is intentionally empty because the source is a row-resolved grid; no interpolation, composition transfer, or extrapolation was performed."
"li_2022_dfe_136gpa","D_Fe,self","Fe self-diffusion coefficient","self_diffusion","literature_data","2.58e-9","m^2 s^-1","3.8e-10","standard_error","1.36e11","3944","","Fe116Ni12 (128 atoms; x_Fe=0.90625; x_Ni=0.09375)","liquid Fe-Ni","Ab initio determination on diffusion coefficient and viscosity of FeNi fluid under Earth's core condition","Wei-Jie Li; Zi Li; Zhe Ma; Ping Zhang; Yong Lu; Cong Wang; Qian Jia; Xue-Bin Cheng; Han-Dong Hu","2022","Scientific Reports 12, 21255","10.1038/s41598-022-24594-8","","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9731973/","Table 1; Figure 3; calculation details specify 12 Ni and 116 Fe atoms","ab initio molecular dynamics; self diffusion from mean-square displacement","single discrete state on the adopted core adiabat at the stated composition and liquid phase","none; discrete point only","false","false","Fe self diffusion is not a Fe-Ni mutual-diffusion coefficient, Onsager cross coefficient, or charge mobility.","high","literature_data; SI value and standard error converted from the Table 1 scale of 1e-9 m^2 s^-1."
"li_2022_dni_136gpa","D_Ni,self","Ni self-diffusion coefficient","self_diffusion","literature_data","2.47e-9","m^2 s^-1","6.3e-10","standard_error","1.36e11","3944","","Fe116Ni12 (128 atoms; x_Fe=0.90625; x_Ni=0.09375)","liquid Fe-Ni","Ab initio determination on diffusion coefficient and viscosity of FeNi fluid under Earth's core condition","Wei-Jie Li; Zi Li; Zhe Ma; Ping Zhang; Yong Lu; Cong Wang; Qian Jia; Xue-Bin Cheng; Han-Dong Hu","2022","Scientific Reports 12, 21255","10.1038/s41598-022-24594-8","","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9731973/","Table 1; Figure 3; calculation details specify 12 Ni and 116 Fe atoms","ab initio molecular dynamics; self diffusion from mean-square displacement","single discrete state on the adopted core adiabat at the stated composition and liquid phase","none; discrete point only","false","false","Ni self diffusion is not a Fe-Ni mutual-diffusion coefficient, Onsager cross coefficient, or charge mobility.","high","literature_data; SI value and standard error converted from the Table 1 scale of 1e-9 m^2 s^-1."
"li_2022_dfe_150gpa","D_Fe,self","Fe self-diffusion coefficient","self_diffusion","literature_data","2.59e-9","m^2 s^-1","4.1e-10","standard_error","1.50e11","4057","","Fe116Ni12 (128 atoms; x_Fe=0.90625; x_Ni=0.09375)","liquid Fe-Ni","Ab initio determination on diffusion coefficient and viscosity of FeNi fluid under Earth's core condition","Wei-Jie Li; Zi Li; Zhe Ma; Ping Zhang; Yong Lu; Cong Wang; Qian Jia; Xue-Bin Cheng; Han-Dong Hu","2022","Scientific Reports 12, 21255","10.1038/s41598-022-24594-8","","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9731973/","Table 1; Figure 3; calculation details specify 12 Ni and 116 Fe atoms","ab initio molecular dynamics; self diffusion from mean-square displacement","single discrete state on the adopted core adiabat at the stated composition and liquid phase","none; discrete point only","false","false","Fe self diffusion is not a Fe-Ni mutual-diffusion coefficient, Onsager cross coefficient, or charge mobility.","high","literature_data; SI value and standard error converted from the Table 1 scale of 1e-9 m^2 s^-1."
"li_2022_dni_150gpa","D_Ni,self","Ni self-diffusion coefficient","self_diffusion","literature_data","2.52e-9","m^2 s^-1","5.9e-10","standard_error","1.50e11","4057","","Fe116Ni12 (128 atoms; x_Fe=0.90625; x_Ni=0.09375)","liquid Fe-Ni","Ab initio determination on diffusion coefficient and viscosity of FeNi fluid under Earth's core condition","Wei-Jie Li; Zi Li; Zhe Ma; Ping Zhang; Yong Lu; Cong Wang; Qian Jia; Xue-Bin Cheng; Han-Dong Hu","2022","Scientific Reports 12, 21255","10.1038/s41598-022-24594-8","","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9731973/","Table 1; Figure 3; calculation details specify 12 Ni and 116 Fe atoms","ab initio molecular dynamics; self diffusion from mean-square displacement","single discrete state on the adopted core adiabat at the stated composition and liquid phase","none; discrete point only","false","false","Ni self diffusion is not a Fe-Ni mutual-diffusion coefficient, Onsager cross coefficient, or charge mobility.","high","literature_data; SI value and standard error converted from the Table 1 scale of 1e-9 m^2 s^-1."
"li_2022_dfe_200gpa","D_Fe,self","Fe self-diffusion coefficient","self_diffusion","literature_data","2.80e-9","m^2 s^-1","5.3e-10","standard_error","2.00e11","4460","","Fe116Ni12 (128 atoms; x_Fe=0.90625; x_Ni=0.09375)","liquid Fe-Ni","Ab initio determination on diffusion coefficient and viscosity of FeNi fluid under Earth's core condition","Wei-Jie Li; Zi Li; Zhe Ma; Ping Zhang; Yong Lu; Cong Wang; Qian Jia; Xue-Bin Cheng; Han-Dong Hu","2022","Scientific Reports 12, 21255","10.1038/s41598-022-24594-8","","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9731973/","Table 1; Figure 3; calculation details specify 12 Ni and 116 Fe atoms","ab initio molecular dynamics; self diffusion from mean-square displacement","single discrete state on the adopted core adiabat at the stated composition and liquid phase","none; discrete point only","false","false","Fe self diffusion is not a Fe-Ni mutual-diffusion coefficient, Onsager cross coefficient, or charge mobility.","high","literature_data; SI value and standard error converted from the Table 1 scale of 1e-9 m^2 s^-1."
