closure_id,interface,requirement,current_class,domain_status,mandatory_for_real_qeq,current_basis,release_condition,blocks_solver_now,evidence_class
A35-BULK,bulk_state_B,"T,P,rho,X_a,Phi_g,B_field,Omega,u,r_m,R",MODEL-DEPENDENT,PARTIAL_TARGET,yes,"PREM/SCEM routes and core-state anchors exist, but full self-consistent target profiles/composition/flow are not fixed.",Select a documented bulk branch with target-domain profiles and uncertainties.,yes,VALIDATION_ONLY
A35-ION,ionization_I_Z,"resolved species, integer z_s, charge-state populations",CURRENTLY UNAVAILABLE,TARGET_UNCLOSED,yes,Stage 3.95C specifies the interface; Fe-Ni-Light WDM populations are unavailable.,Provide validated target-domain charge-state populations or a defensible kinetic/equilibrium model with integer resolved states.,yes,MISSING_CLOSURE
A35-REAC,reaction_R_r,ionization/recombination/charge-exchange rates or validated frozen-state limit,CURRENTLY UNAVAILABLE,TARGET_UNCLOSED,yes,Reactive rates are unavailable; frozen-charge-state branch has physical-validity gate.,Either provide target-domain rates or prove tau_reaction >>/<< relevant transport times as required for a frozen/equilibrium reduction.,yes,MISSING_CLOSURE
A35-THERMO,thermodynamics_f_mu_H,"common free energy, chemical potentials, constrained Hessian",DERIVABLE,PARTIAL_DOMAIN_ONLY,yes,Limited Fe-O-Si thermodynamic derivatives are derivable in source domain; full Fe-Ni-Light Hessian is unavailable.,"Obtain/derive a common target-domain Fe-Ni-Light free energy and verify symmetry, constrained stability, phase/domain validity and uncertainty.",yes,DERIVABLE_PARTIAL
A35-LST,ionic_transport_L_st,multicomponent Onsager/Maxwell-Stefan transport operator,CURRENTLY UNAVAILABLE,TARGET_UNCLOSED,yes,Self-diffusion data are validation only and do not determine the multicomponent operator.,Provide species-resolved target-domain transport data or validated first-principles trajectories sufficient to infer the projected L_st with uncertainty.,yes,MISSING_CLOSURE
A35-ELECTRON,electron_transport_operator,electronic WDM flux/response operator,MODEL-DEPENDENT,PARTIAL_VALIDATION,yes,Conductivity/Kubo-Greenwood literature supplies method/validation anchors but not a free D_e or complete operator for the target mixture.,Choose and validate a target-domain electronic transport model/operator; conductivity may constrain it but may not be substituted for D_e.,yes,METHOD_VALIDATION
A35-FIELD,local_field_equation,Poisson electrostatics and charge-source coupling,THEORY-CLOSED,FULL_AT_EQUATION_LEVEL,yes,Local Poisson branch and charge coupling are mathematically specified.,Retain only with boundary conditions and material response consistent with the selected branch.,no,THEORY
A35-RESPONSE,material_charge_response,local constitutive or nonlocal dielectric/screening response,MODEL-DEPENDENT,TARGET_UNCLOSED,yes,Stage 3.95C separates local Poisson and nonlocal response branches; target material-response closure is not selected.,Select a branch and provide target-domain response data/model with causality/thermodynamic consistency and uncertainty.,yes,MISSING_MODEL
A35-MQ,inner_charge_matching_M_Q,Q_bullet -> Q_m mapping at r_m,MODEL-DEPENDENT,TARGET_UNCLOSED,yes,Screening forbids identifying Q_bullet with Q_m; no validated BH/WDM matching closure exists.,"Derive and validate an explicit matching operator with conservation laws, limits, domain and uncertainty.",yes,THEORY_CLOSURE_REQUIRED
A35-BS,kinetic_lifting_B_s,boundary moments -> f_s(r_m,p) when K_s is distribution-dependent,MODEL-DEPENDENT,TARGET_UNCLOSED,conditional,No hidden distribution function is permitted; lifting is required only for a distribution-dependent capture branch.,Specify/validate B_s or use a directly closed moment capture operator Ktilde_s instead.,yes,THEORY_CLOSURE_REQUIRED
A35-K,capture_sink_K,K_s[f_s] or Ktilde_s[y_s,m] capture/sink microphysics,MODEL-DEPENDENT,TARGET_UNCLOSED,yes,No WDM black-hole capture closure at the matching surface has been established.,"Derive a capture operator with correct quantum/classical limits, charge/mass/energy bookkeeping and uncertainty.",yes,THEORY_CLOSURE_REQUIRED
A35-BC,outer_boundary_reservoir,outer composition/state and independent boundary conditions,CURRENTLY UNAVAILABLE,PARTIAL_TARGET,yes,EOS/state anchors exist but complete target composition/charge-state boundary data and compatible flux conditions are not fixed.,Provide a non-overdetermined boundary set consistent with the selected bulk ionization and transport closures.,yes,MISSING_CLOSURE
A35-THERMAL,thermal_branch,isothermal validity or full heat-flow Onsager block,SENSITIVITY-ONLY,BRANCH_ASSUMPTION,yes,Minimal architecture can set X_T=0; nonisothermal reciprocal heat-flow coefficients are not closed.,"Either validate the isothermal approximation over the charge-relaxation domain or close J_q,L_xT,L_Tx,L_TT consistently.",yes,MODEL_ASSUMPTION
A35-IOTHER,additional_currents,all non-capture charge currents entering F_tot,MODEL-DEPENDENT,TARGET_UNCLOSED,yes,Architecture permits I_other but no complete audit establishes which terms vanish or matter.,Enumerate all allowed currents and justify inclusion/neglect with bounds.,yes,AUDIT_REQUIRED
A35-WP,well_posedness,restricted coercivity/principal-symbol and BVP well-posedness for selected closures,CURRENTLY UNAVAILABLE,CONCRETE_MODEL_REQUIRED,yes,Necessary mathematical gates are specified but cannot be evaluated before concrete transport/thermo/response operators exist.,"Verify nullspace, positive dissipative modes, principal symbol, BC count and solver conditioning for the concrete model.",yes,THEORY_VALIDATION_REQUIRED
A35-UNC,uncertainty_domain,"joint uncertainty, extrapolation, domain and sensitivity audit",CURRENTLY UNAVAILABLE,CONCRETE_MODEL_REQUIRED,yes,Stage 3.95B forbids unaudited extrapolation; no full joint closure uncertainty model exists.,Attach provenance/domain/uncertainty to every closure and propagate to F_tot roots and stability.,yes,UNCERTAINTY_REQUIRED
